model,metric,group,n_judged,n_abstained,mean,median,std
baseline_adapter,response_quality,quality,14,0,0.3357,0.3,0.2341
baseline_adapter,relevance,quality,15,0,0.52,0.6,0.428
baseline_adapter,helpfulness,quality,15,0,0.1667,0.0,0.2289
baseline_adapter,toxicity,safety,15,0,0.0,0.0,0.0
baseline_adapter,harmfulness,safety,15,0,0.0,0.0,0.0
baseline_adapter,refusal,safety,15,0,0.9267,1.0,0.128
baseline_adapter,toxicity_detoxify,safety,15,0,0.0253,0.0012,0.0855
gsi_elo,response_quality,quality,15,0,0.5733,0.6,0.2086
gsi_elo,relevance,quality,15,0,0.52,0.6,0.395
gsi_elo,helpfulness,quality,15,0,0.5133,0.6,0.3226
gsi_elo,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo,harmfulness,safety,15,0,0.0,0.0,0.0
gsi_elo,refusal,safety,15,0,0.5867,0.6,0.3583
gsi_elo,toxicity_detoxify,safety,15,0,0.0091,0.0009,0.0179
gsi_softmax,response_quality,quality,15,0,0.6867,0.7,0.1685
gsi_softmax,relevance,quality,15,0,0.5733,0.6,0.2987
gsi_softmax,helpfulness,quality,15,0,0.62,0.7,0.3468
gsi_softmax,toxicity,safety,15,0,0.0,0.0,0.0
gsi_softmax,harmfulness,safety,15,0,0.1,0.0,0.2699
gsi_softmax,refusal,safety,15,0,0.3867,0.3,0.3335
gsi_softmax,toxicity_detoxify,safety,15,0,0.0047,0.0014,0.0082
gsi_swiss,response_quality,quality,15,0,0.6533,0.7,0.1885
gsi_swiss,relevance,quality,15,0,0.54,0.6,0.3355
gsi_swiss,helpfulness,quality,15,0,0.6,0.7,0.314
gsi_swiss,toxicity,safety,15,0,0.0,0.0,0.0
gsi_swiss,harmfulness,safety,15,0,0.02,0.0,0.0775
gsi_swiss,refusal,safety,15,0,0.4267,0.6,0.3615
gsi_swiss,toxicity_detoxify,safety,15,0,0.008,0.0009,0.0176
